word,frequency
a,302
i,228
e,156
in,91
non,81
che,67
sono,58
per,58
mia,56
un,56
molto,55
ã¨,53
mi,52
you,52
to,43
ma,43
perchã©,41
con,41
una,35
ho,34
ãˆ,30
piace,29
fare,28
an,27
f1,25
o,25
ci,24
mio,24
come,24
câ€™ã¨,24
miei,23
m1,19
si,19
anche,19
piã¹,19
avoro,18
troppo,18
casa,18
ha,18
cosa,17
scuola,17
for,17
fa,16
cittã ,16
are,16
tua,16
ogni,16
must,15
may,15
ove,15
uring,15
rea,15
quando,15
is,15
not,15
shoul,15
at,15
purtroppo,14
alla,14
anni,14
secondo,14
tu,13
gli,13
me,13
vado,13
tutti,13
perã²,13
giorno,13
andare,13
be,13
of,13
sempre,13
ti,12
grande,12
tempo,12
è,12
sã¬,12
allora,12
ue,12
bene,11
centro,11
avorare,11
spesso,10
abbiamo,10
then,10
pre-recorde,10
have,10
wi,10
isten,10
five,10
tanto,10
or,10
again,10
abbastanza,9
bella,9
urante,9
approximately,9
pensi,9
amici,9
tuo,9
opo,9
nella,9
vorrei,9
june,9
problemi,9
comâ€™ã¨,9
male,8
tutto,8
festa,8
padre,8
madre,8
open,8
vicino,8
cellulare,8
sorella,8
voglio,8
conigli,8
genitori,8
ne,8
problema,8
qualche,7
volta,7
trovare,7
blank,7
alle,7
fortuna,7
page,7
no,7
zona,6
te,6
rights,6
â€™ambiente,6
icensors,6
sarã ,6
era,6
mangia,6
bisogno,6
solito,6
giardino,6
over,6
its,6
gente,6
en,6
ei,6
settimana,6
turn,6
esempio,6
altri,6
spiaggia,6
parlare,6
reserve,6
melania,6
copyright,6
sportivo,6
questo,6
poi,6
file,6
it,6
aqa,6
quello,6
vacanza,6
gioca,6
abito,6
ai,6
as,6
vita,5
ciao,5
aroun,5
minuti,5
possono,5
item,5
â©,5
what,5
suo,5
cosã¬,5
bleep,5
answere,5
box,5
bicicletta,5
unit,5
use,5
cavallo,5
give,5
announce,5
example,5
mai,5
provide,5
intenzione,5
after,5
tier,5
â€™accordo,5
paper,5
before,5
ezioni,5
interrupt,5
studi,5
your,5
salute,5
put,5
starts,5
starte,5
plastica,5
matteo,5
sabato,5
neatly,5
preferita,5
transcript,5
pages,5
text,5
spaces,5
carefully,5
only,5
candidates,5
through,5
ike,5
trova,5
point,5
restarte,5
aske,5
piccolo,5
if,5
make,5
usare,5
ifficile,5
ella,5
fatto,5
giorni,5
traffico,5
english,5
unti,5
hai,5
has,5
giovani,5
istening,5
italian,5
carta,5
on,5
own,5
been,5
there,5
start,5
hear,5
aiutare,5
when,5
book,5
preferisco,4
fai,4
prendo,4
tre,4
brava,4
tranquilla,4
molti,4
allowe,4
certificate,4
quasi,4
zio,4
ristorante,4
etto,4
possibile,4
su,4
cinque,4
piedi,4
spero,4
andato,4
importante,4
porta,4
causa,4
ore,4
sorpresa,4
beh,4
sera,4
fumetto,4
ivertente,4
senza,4
preferito,4
hanno,4
certo,4
genera,4
contatto,4
avere,4
â€™autobus,4
mare,4
pm,4
siamo,4
va,4
moto,4
elle,4
costoso,4
costa,4
giornale,4
c’è,4
campagna,4
ragazzo,4
inquina,4
vetro,4
oh,4
giornalista,4
stare,4
vai,4
quindi,4
am,4
education,4
invigilatorâ€™s,4
bianca,4
famiglia,4
gelato,4
u,4
magari,3
preferisce,3
higher,3
vuole,3
gabriella,3
thursday,3
fronte,3
evo,3
posto,3
suoi,3
volte,3
correre,3
sui,3
agosto,3
molte,3
molta,3
camera,3
francese,3
mangerete,3
f,3
â€™anno,3
naturalmente,3
parco,3
oggi,3
essere,3
se,3
forma,3
venti,3
allo,3
qualcosa,3
amica,3
unque,3
odio,3
avora,3
andata,3
qua,3
vorresti,3
uglio,3
sposarti,3
sposarmi,3
altro,3
futuro,3
adesso,3
compleanno,3
nelle,3
infatti,3
uscire,3
pallavolo,3
genere,3
amico,3
h,3
primo,3
cerco,3
sport,3
ispiace,3
posso,3
chiamo,3
veramente,3
prendere,3
stati,3
capelli,3
almeno,3
caduta,3
faccio,3
questa,3
save,3
stadio,3
forse,3
piacciono,3
ufficio,3
penso,3
tardi,3
visitare,3
matrimonio,3
messaggi,3
marco,3
allâ€™estero,3
tante,3
incontrato,3
paga,3
pagano,3
fanno,3
paesi,3
noioso,3
abiti,3
abita,3
più,3
tutta,3
cugina,3
matematica,3
adora,3
adoro,3
cinema,3
prima,3
inoltre,3
giro,3
